"","ConfirmedSppNames","Species","Category","Use","Group","Location","Authors","Title","Journal","Volume","Pages","GBIFrecswithconfirmendnames"
"1","Abelmoschus esculentus","Abelmoschus esculentus","Health care","treating skin cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",89
"2","Senegalia gourmaensis","Acacia gourmaensis","Energy","used as fuel wood for cooking","Fuel","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",55
"3","Senegalia kamerunensis","Acacia kamerunensis","Health care","treating measles","Medicine: Infectious diseases","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",41
"4","Acacia nilotica","Acacia nilotica","Energy","used as fuel wood for cooking","Fuel","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",6
"5","None","Acacia senegalensis","Health care","treating high fever","Medicine: Fever","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",NA
"6","Acalypha ciliata","Acalypha ciliata","Health care","treating breast cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",26
"7","Acanthospermum hispidum","Acanthospermum hispidum","Agriculture","used as livestocks feed","Fodder","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",38
"8","Acanthospermum hispidum","Acanthospermum hispidum","Health care","treating hunch backs","Medicine: Nutrient deficiencies","Upper West Region","Wodah, D., & Asase, A. (2012)","Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana","Pharmaceutical biology","50(7)","807-815",38
"9","Acanthospermum hispidum","Acanthospermum hispidum","Health care","treating rib pains","Medicine: Somatic pains","Upper West Region","Wodah, D., & Asase, A. (2012)","Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana","Pharmaceutical biology","50(7)","807-815",38
"10","Acanthospermum hispidum","Acanthospermum hispidum","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",38
"11","Achyranthes aspera","Achyranthes aspera","Health care","treating boils","Medicine: Infectious diseases","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",21
"12","Adansonia digitata","Adansonia digitata","Health care","for bathing children for healthy growth","Medicine: Maternal and Child care","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",25
"13","Adansonia digitata","Adansonia digitata","Food and nutrition","fruits and leaves are taken as food","Food","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",25
"14","Adansonia digitata","Adansonia digitata","Health care","treating stomach and breast cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",25
"15","Adenia cissampeloides","Adenia cissampeloides","Health care","treating lung cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",56
"16","Adenia lobata","Adenia lobata","Health care","treating breast and skin cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",133
