Species,Species name in GBIF,Species and authority,Category,Use,Group,Location,No. of occurrences in GBIF,Authors,Title,Journal,Volume,Pages,Ist quartile,Median,3rd quartile,Notes
Abelmoschus esculentus,Abelmoschus esculentus,Abelmoschus esculentus (L.) Moench,Health care,treating skin cancer,Medicine: Cancer,Ashanti Region,89,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1982,1982,1982,
Acacia gourmaensis,Senegalia gourmaensis,Acacia gourmaensis A. Chev.,Energy,used as fuel wood for cooking,Fuel,Upper West Region,54,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Acacia kamerunensis,Senegalia kamerunensis,Acacia kamerunensis Gand.,Health care,treating measles,Medicine: Infectious diseases,Brong-Ahafo Region,41,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,NA,NA,NA,
Acacia nilotica ,Acacia nilotica ,Acacia nilotica (L.) Willd. ex Delile,Energy,used as fuel wood for cooking,Fuel,Upper West Region,5,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1959,1959,1959,
Acacia senegalensis,None,Acacia senegalensis (Houtt.) Roberty,Health care,treating high fever ,Medicine: Fever,Greater Accra Region,0,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,NA,NA,NA,
Acalypha ciliata ,Acalypha ciliata ,Acalypha ciliata Forssk. ,Health care,treating breast cancer,Medicine: Cancer,Ashanti Region,26,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1931,1954,1956,
Acanthospermum hispidum,Acanthospermum hispidum,Acanthospermum hispidum DC.,Agriculture,used as livestocks feed,Fodder,Upper West Region,38,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1954,1957,1964,
Acanthospermum hispidum,Acanthospermum hispidum,Acanthospermum hispidum DC.,Health care,treating hunch backs,Medicine: Nutrient deficiencies,Upper West Region,38,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1954,1957,1964,
Acanthospermum hispidum,Acanthospermum hispidum,Acanthospermum hispidum L.,Health care,treating rib pains,Medicine: Somatic pains,Upper West Region,38,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1954,1957,1964,
Acanthospermum hispidum,Acanthospermum hispidum,,Health care,treating malaria,Medicine: Malaria,Upper West Region,38,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1954,1957,1964,
Achyranthes aspera ,Achyranthes aspera ,Achyranthes aspera L. ,Health care,treating boils,Medicine: Infectious diseases,Greater Accra Region,20,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Adansonia digitata,Adansonia digitata,,Health care,for bathing children for healthy growth,Medicine: Maternal and Child care,Upper West Region,25,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1956,1971,
Adansonia digitata,Adansonia digitata,,Food and nutrition,fruits and leaves are taken as food,Food,Upper West Region,25,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1956,1971,
