"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"1","Acanthospermum hispidum",0.7859,0,2.5265,28.7289,68.7445,0,30.2233,8.6849,61.0918
"2","Afrostyrax lepidophyllus",0.7453,0,100,0,0,0,100,0,0
"3","Afzelia africana",0.7454,57.474,23.4231,2.3251,16.7779,56.4216,38.1991,0.6305,4.7488
"4","Alchornea cordifolia",0.7128,0,76.3352,19.8332,3.8315,0,73.0243,10.2203,16.7554
"5","Alstonia boonei",0.823,3.3086,35.1828,5.8981,55.6105,5.9143,68.0111,4.5052,21.5694
"6","Amaranthus spinosus",0.5758,0,0,0,100,0,0,0,100
"7","Annona muricata",0.8732,69.2028,0,0,30.7972,81.9476,0,0,18.0524
"8","Anthocleista nobilis",0.9414,64.0274,23.1864,0.0579,12.7283,54.008,44.9091,0.5103,0.5726
"9","Azadirachta indica",0.7585,0,0,4.8126,95.1874,0,0,10.5137,89.4863
"10","Balanites aegyptiaca",0.8148,0.5644,97.3658,0,2.0698,1.3334,93.441,0,5.2256
"11","Bidens pilosa",0.7298,36.0713,0,9.8536,54.0751,55.4215,0,0.2375,44.341
"12","Bombax buonopozense",0.795,12.8712,0,0,87.1288,21.6691,0,0,78.3309
"13","Bridelia ferruginea",0.7263,59.6086,13.7127,14.9726,11.7062,71.6942,24.8201,2.5085,0.9772
"14","Cantinoa americana",0.7863,0.4328,79.3295,2.0061,18.2316,1.2516,86.1499,6.5897,6.0089
"15","Cassia sieberiana",0.68,61.1316,0.4818,0,38.3866,77.44,18.5951,0,3.9649
"16","Chromolaena odorata",0.8154,31.2289,0,0,68.7711,22.1223,0,0,77.8777
"17","Clausena anisata",0.7763,11.1178,88.1394,0,0.7428,19.1488,80.7091,0,0.1421
"18","Cleistopholis patens",0.8045,0,13.5111,0.0327,86.4562,0,0,0.8236,99.1764
"19","Cochlospermum planchonii",0.6766,51.6614,28.3109,3.2693,16.7585,30.1361,54.7293,3.9791,11.1555
"20","Cola gigantea",0.7562,0.2645,23.1016,0.0366,76.5973,2.7388,0,1.2024,96.0588
