"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"1","Abelmoschus esculentus",0.6859,1.8511,75.7791,0.1333,22.2366,1.6186,80.5162,0,17.8652
"2","Acalypha ciliata",0.7815,14.419,29.9081,0,55.6729,20.5304,28.8027,0,50.6669
"3","Adansonia digitata",0.7541,0,99.981,0,0.019,0,99.0033,0,0.9967
"4","Adenia cissampeloides",0.8341,0,78.3394,0.3504,21.3102,0,97.6711,2.3289,0
"5","Adenia lobata",0.8384,2.4047,71.2923,8.2066,18.0964,3.242,85.984,9.1474,1.6266
"6","Alchornea cordifolia",0.7128,0,76.3352,19.8332,3.8315,0,73.0243,10.2203,16.7554
"7","Alstonia boonei",0.823,3.3086,35.1828,5.8981,55.6105,5.9143,68.0111,4.5052,21.5694
"8","Alternanthera sessilis",0.7394,46.856,8.3768,0.228,44.5392,24.8203,27.357,0.0676,47.7551
"9","Amaranthus viridis",0.7624,33.9906,0,13.9242,52.0852,72.2728,0,6.4336,21.2936
"10","Amphimas pterocarpoides",0.7855,0,20.0462,0.001,79.9528,0,60.8302,0,39.1698
"11","Annona muricata",0.8732,69.2028,0,0,30.7972,81.9476,0,0,18.0524
"12","Annona senegalensis",0.656,27.399,47.9375,10.1052,14.5584,33.1808,55.8408,3.4707,7.5077
"13","Antiaris toxicaria",0.7977,1.9075,8.1054,20.7824,69.2047,0,23.2607,9.2546,67.4848
"14","Arachis hypogaea",0.7552,10.3062,78.5497,0.0599,11.0842,15.9112,69.5768,0.2688,14.2432
"15","Aspilia africana",0.7616,5.4135,87.8077,6.6656,0.1132,4.5342,80.3251,15.1407,0
"16","Astraea lobata",0.6244,0.2681,0,0,99.7319,0,0,0,100
"17","Asystasia gangetica",0.7532,12.9122,26.7908,57.1358,3.1612,14.0356,40.6614,38.0475,7.2554
"18","Azadirachta indica",0.7585,0,0,4.8126,95.1874,0,0,10.5137,89.4863
"19","Balanites aegyptiaca",0.8148,0.5644,97.3658,0,2.0698,1.3334,93.441,0,5.2256
"20","Baphia nitida",0.8134,2.7204,52.5831,12.7953,31.9012,1.3977,77.0141,12.1714,9.4168
"21","Bertiera racemosa",0.8491,0,76.4348,0,23.5652,0,95.3016,0,4.6984
"22","Bidens pilosa",0.7298,36.0713,0,9.8536,54.0751,55.4215,0,0.2375,44.341
"23","Blighia sapida",0.8058,2.1332,12.9968,19.2105,65.6595,14.4498,13.2146,13.3822,58.9535
"24","Blighia unijugata",0.8041,0.1025,54.1751,0.9488,44.7736,0.1396,81.6795,2.4534,15.7275
"25","Caesalpinia benthamiana",0.8046,74.2645,25.4353,0.3002,0,50.7827,49.1443,0.073,0
"26","Calotropis procera",0.6805,0,0,0,100,0,0,0,100
"27","Capsicum annuum",0.8027,44.957,33.2363,0.3647,21.442,64.1831,21.6738,1.0245,13.1187
"28","Carapa procera",0.7073,0.0214,90.9763,0.1084,8.8939,2.2876,93.0509,4.2371,0.4245
"29","Chromolaena odorata",0.8154,31.2289,0,0,68.7711,22.1223,0,0,77.8777
"30","Cissampelos mucronata",0.6953,6.2215,0,0,93.7785,23.3435,0,0,76.6565
"31","Clerodendrum capitatum",0.6738,2.1452,24.3277,0,73.527,23.4495,4.0853,0,72.4652
"32","Cnestis ferruginea",0.7685,9.2947,72.1102,2.5922,16.0029,3.0746,92.2526,3.2515,1.4213
"33","Cola nitida",0.8016,0,32.7384,0.6193,66.6422,0,66.7233,0.3623,32.9144
"34","Colocasia esculenta",0.8006,7.506,35.1917,1.0759,56.2264,7.7266,68.6182,0.5239,23.1313
"35","Combretum molle",0.6726,0,97.8095,2.1905,0,0,100,0,0
"36","Combretum platypterum",0.8918,4.6481,95.3519,0,0,8.2843,91.7157,0,0
"37","Combretum racemosum",0.776,15.0682,67.7914,0.005,17.1353,26.9185,63.9806,0.0022,9.0986
"38","Cordia dichotoma",0.902,70.5589,24.1252,5.316,0,57.0546,42.9454,0,0
"39","Cordia millenii",0.8455,3.7903,19.2749,0,76.9347,13.9528,51.4259,0,34.6213
"40","Corynanthe pachyceras",0.764,0,43.7029,0.1148,56.1824,0,62.4885,0,37.5115
"41","Crossopteryx febrifuga",0.6281,83.2326,0.2454,8.3679,8.1541,67.6448,0,13.6586,18.6967
"42","Cussonia bancoensis",0.8257,0,14.2267,3.2356,82.5376,0,13.6057,15.5165,70.8778
"43","Cyperus rotundus",0.7929,41.2338,0,27.2138,31.5524,60.2317,0,3.2739,36.4944
"44","Desmodium adscendens",0.8087,2.0126,52.8591,0.4576,44.6707,1.968,76.0148,3.2742,18.743
"45","Dialium dinklagei",0.8176,0,68.7425,0,31.2575,0,92.4265,0,7.5735
"46","Dioscorea alata",0.6508,15.5627,62.4991,0.7858,21.1525,18.5204,52.7292,1.3392,27.4113
